national_party,ep_group,quantity_votes_party,quantity_votes_group,party_defection,party_cohesion,group_defection,group_cohesion
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1440,1543,0.01170513425665322,0.08708891961582735,0.9857873704375771,0.9540669953768917
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1996,2016,0.007803106212424849,0.008086681073106934,0.9648233772675736,0.9239717689570994
Alternative für Deutschland,,0,0,,,1.0,
Partij voor de Vrijheid,Europe of Nations and Freedom Group,1840,1840,0.002173913043478261,0.2011369627865067,0.9958559782608696,0.6536734824121342
Democratic Rally,,0,0,,,1.0,
Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),1857,1890,0.008616047388260635,0.012458651127226772,0.9714285714285714,0.92664339045394
Sloboda a Solidarita,European Conservatives and Reformists Group,0,1828,,0.09782617631226614,,0.7371111470914229
Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),1948,1966,0.014373716632443531,0.018174348440775617,0.9749491353001017,0.9255562947891411
Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),1803,1805,0.022185246810870772,0.030919461829499922,0.9542936288088643,0.9221066722637611
Conservative Party,European Conservatives and Reformists Group,1572,1572,0.029804135259351446,0.08105121482156201,0.9311293959843164,0.7398224240761991
Progressive Party of Working People - Left - New Forces,Confederal Group of the European United Left - Nordic Green Left,1634,1766,0.0,0.06602924885250493,0.960079275198188,0.7898959347823351
Patriotic Radical Union (PAT.RI.E.),Non-attached Members,0,1835,,0.04654907204568291,,0.4260032300310348
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1787,1787,0.009462520318703867,0.009050262467743528,0.9908126754797152,0.9469282703881357
Magyar Szocialista Párt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1412,1911,0.0,0.01537456738770773,0.9807692307692307,0.9513621436310037
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),2020,2020,0.020068695440164572,0.02996075638831642,0.9646436466731676,0.9247545843732259
Forza Italia,Group of the European People's Party (Christian Democrats),643,643,0.0026956972524624155,0.011507482620250175,0.9672042576397164,0.9412011261621527
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1751,1751,0.00547881587287641,0.1293154050444072,0.966964110988954,0.42259380080689146
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1881,1881,0.006224525961368066,0.01795014315314215,0.9764863547758286,0.9547674000419873
Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1763,1782,0.0011344299489506524,0.023653916260364935,0.9924242424242424,0.9517423522228543
Conservative Party,European Conservatives and Reformists Group,1933,1933,0.03992036214359429,0.08560097213240758,0.9243611477335083,0.7389602502789325
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1994,1998,0.005261618187897024,0.016987603841196963,0.9743439868439868,0.9524114246919009
Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1958,1980,0.0056179775280898875,0.023346989827749992,0.9911616161616161,0.9525480468335967
Sõltumatu,Group of the Greens/European Free Alliance,0,1665,,0.06075615588223991,,0.9562331129383194
Green Party,Group of the Greens/European Free Alliance,1643,1668,0.006086427267194157,0.005770062627287673,0.9886091127098321,0.9580759525675092
,Group of the Alliance of Liberals and Democrats for Europe,0,2043,,0.04068207552507875,,0.9256275114593967
Perussuomalaiset,,286,0,0.0,,0.9236350221347762,
Esquerra Republicana de Catalunya,Group of the Greens/European Free Alliance,959,1804,0.0,0.010227434706927298,0.997089800443459,0.9592252321347713
,European Conservatives and Reformists Group,0,1274,,0.2684863366247099,,0.7414471061945994
Freie Demokratische Partei,,948,0,0.012658227848101266,,0.9729308390022676,
"Génération.s, le mouvement",Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1852,1929,0.0,0.045401444382888734,0.9692846034214619,0.9540108212433668
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1674,1674,0.022319148540685542,0.023081438076033706,0.9645099195028036,0.9250851650731083
Christen-Democratisch & Vlaams,,39,0,0.0,,0.9955112219451372,
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1807,1807,0.009995650164990665,0.011270826317431914,0.977321509259936,0.9517432106160009
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1640,1640,0.022859320557491288,0.06331364188713749,0.9861451734241369,0.9263065638009784
Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,European Conservatives and Reformists Group,0,1480,,0.0656330117435546,,0.7302590132007014
Hrvatska konzervativna stranka,European Conservatives and Reformists Group,0,1970,,0.032616234999529675,,0.74056866974384
Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),1935,1945,0.011886304909560724,0.020438317460734653,0.9750642673521851,0.9272682650945361
Eesti Keskerakond,Group of the Alliance of Liberals and Democrats for Europe,0,1761,,0.029532995627875046,,0.9320440771078997
"Venstre, Danmarks Liberale Parti",,0,0,,,1.0,
Svenska folkpartiet,Group of the Alliance of Liberals and Democrats for Europe,0,1801,,0.012673104656230548,,0.9266547360177518
Občanská demokratická strana,European Conservatives and Reformists Group,1792,1970,0.0,0.10311672253023657,0.9645939086294416,0.7374734405636285
Forza Italia,,333,0,0.41734770484770484,,0.912036186583884,
Liberal-Conservative Refomists,European Conservatives and Reformists Group,1809,1809,0.007877280265339967,0.05410545552826335,0.9577114427860697,0.7418768644706879
Partit Demòcrata Europeu i Català,Group of the Alliance of Liberals and Democrats for Europe,0,1933,,0.0337373179333386,,0.9255682433866643
Rassemblement national,Europe of Nations and Freedom Group,1969,1975,0.004212644474198563,0.005836418144524121,0.9785975669899721,0.6534642058636178
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1510,1510,0.018495348470514032,0.02142617576804007,0.9765414193973796,0.9596424379394555
Déi Gréng - Les Verts,,0,0,,,1.0,
,Non-attached Members,0,1903,,0.20262414444970422,,0.42547507000317175
Magyar Szocialista Párt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1412,1464,0.0,0.017664311885893482,0.9748975409836066,0.9551315203424654
Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1857,1862,0.02349219170705439,0.04764398481376507,0.9741138560687432,0.9520277125340123
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1763,1763,0.061899359857385955,0.054295217023258825,0.9620685114658455,0.9253477402154304
Iniciativa per Catalunya Verds,Group of the Greens/European Free Alliance,0,1891,,0.04213216646454784,,0.9598568789595927
Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),2010,2010,0.012002487562189055,0.027084034465802008,0.974228855721393,0.9239679949415545
Darbo partija,Group of the Alliance of Liberals and Democrats for Europe,0,1409,,0.03598396150807312,,0.9266166215708238
DeSUS - Demokratična Stranka Upokojencev Slovenije,Group of the Alliance of Liberals and Democrats for Europe,0,1854,,0.036849845290658934,,0.925796310403446
Partido Popular,Group of the European People's Party (Christian Democrats),1973,1977,0.008085006098817554,0.012378760655141962,0.9776584332757902,0.9240179703842358
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1726,1726,0.006944214534017547,0.006890754866490937,0.966581484853501,0.9274075511260189
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1594,1594,0.014430534960647882,0.01863899587669409,0.9790751359681722,0.9516443139151703
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,2048,2048,0.02518384935377123,0.13691894258449502,0.9656615845092408,0.4196270626837711
Izquierda Xunida,Confederal Group of the European United Left - Nordic Green Left,0,1355,,0.06866867328650325,,0.779682027228828
Die Grünen - Die Grüne Alternative,Group of the Greens/European Free Alliance,1928,1951,0.005705394190871369,0.0075344485431560835,0.9897488467452589,0.959022558344268
Socialistische Partij.Anders,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1901,,0.010424954783367682,,0.9525901695227437
Conservative Party,European Conservatives and Reformists Group,1597,1597,0.016546457438217532,0.07024756319589105,0.9304745335908402,0.7415044539334525
Nieuw-Vlaamse Alliantie,,250,0,0.032,,0.990323758519961,
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1953,1953,0.0028613595976024818,0.0212228843652751,0.9863941157485442,0.953856622454634
Suomen Keskusta,,1292,0,0.025541795665634675,,0.9506020799124247,
Front de Gauche,Confederal Group of the European United Left - Nordic Green Left,1751,1840,0.03540833809251856,0.09110879115764725,0.8217391304347826,0.7834349060655629
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1948,1948,0.014673429084573355,0.020671613253864043,0.9464732817899703,0.9258884106147599
Open Vlaamse Liberalen en Democraten,Group of the Alliance of Liberals and Democrats for Europe,1659,1665,0.008438818565400843,0.004191910173198329,0.9876876876876877,0.9190599736782548
Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left,1906,1930,0.00472193074501574,0.22262504104279665,0.9913212435233161,0.7871033448223143
Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group,1869,1870,0.006420545746388443,0.25595740118383065,0.9641042780748663,0.6508986512981195
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1962,1962,0.017124940745976765,0.017345951726572023,0.9781538747439998,0.9522765329998357
Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats),1722,1798,0.003484320557491289,0.013779545424133701,0.96440489432703,0.925721252856577
Dansk Folkeparti,European Conservatives and Reformists Group,1739,1863,0.0097757331799885,0.1456861412428002,0.9814814814814815,0.7400796332639363
Nationaldemokratische Partei Deutschlands,Non-attached Members,0,1688,,0.10398886852815652,,0.4222833694906183
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1857,1857,0.013646401088629087,0.020519232078284048,0.9484988036413695,0.9271245439690755
Nea Demokratia,Group of the European People's Party (Christian Democrats),1187,1207,0.004738837405223252,0.02629082422649932,0.978086164043082,0.9332528087769808
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1815,1815,0.018420000636213567,0.02070303975721476,0.9639830994911209,0.9274501305312124
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1979,1979,0.014217699060688607,0.030631908875921193,0.9853599538669221,0.9538249162463452
Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),1807,1807,0.019714997232982843,0.001560208552671238,0.950235196458218,0.9289402740802705
ALDE Romania,Group of the Alliance of Liberals and Democrats for Europe,1368,1613,0.0,0.02373732512132605,0.9558276503409795,0.9258047627774278
Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1880,1885,0.00884308510638298,0.019514458249626557,0.9890185676392574,0.9523926631447408
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1589,1709,0.024464536045129687,0.08369624448134005,0.9736320717958261,0.9522110007558023
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1707,1886,0.021934805749289365,0.11194085377537166,0.9654118575775937,0.9248432015349517
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1871,1871,0.0067649672498858,0.012796355296057637,0.9731504066255211,0.9520015936408243
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1292,1292,0.006295707705306291,0.015556538134954346,0.9749242605234022,0.9531316642391747
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1915,1919,0.0085226026606433,0.011623431166476635,0.9449597499707418,0.9232479696625548
Liberalerna,Group of the Alliance of Liberals and Democrats for Europe,1295,1709,0.0,0.033557284889056065,0.9749853715623171,0.9263276802294058
Labour Party,,883,0,0.0316932812184759,,0.9850025087642909,
Sverigedemokraterna,European Conservatives and Reformists Group,1737,1822,0.0,0.32488213607661803,0.9938254665203073,0.7314154854626629
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1621,1621,0.13453007876221434,0.13774604707895155,0.9475812201524644,0.9257646099312934
Uniunea Democrată Maghiară din România,Group of the European People's Party (Christian Democrats),1668,1692,0.0,0.020498673056005785,0.974290780141844,0.929548146412259
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1884,1884,0.031045091674072565,0.06296255237484703,0.9561332908068576,0.7418573643478144
Prawo i Sprawiedliwość,,849,0,0.14245819943699803,,0.9559067401951533,
,Non-attached Members,0,1592,,0.1615048050482041,,0.42766122224307107
Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats),1943,1962,0.03242408646423057,0.06463385821121834,0.9471202854230377,0.9246744882985715
Nea Demokratia,Group of the European People's Party (Christian Democrats),1176,1198,0.006164965986394558,0.03105989439015573,0.9785475792988313,0.9322542256749033
Občanská demokratická strana,European Conservatives and Reformists Group,1792,1825,0.0,0.09633371069438014,0.9617808219178082,0.7411336165497456
SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1527,1527,0.009823182711198428,0.011247270005970643,0.9766699410609038,0.9608483839645626
Partido Popular,,740,0,0.06812585218835218,,0.9780504506503248,
Lega Nord,Europe of Nations and Freedom Group,1875,1884,0.24086666666666665,0.27533510109156023,0.9165737791932058,0.6522662908006468
Articolo UNO – Movimento Democratico e Progressista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1868,1891,0.004282655246252677,0.00696032320980444,0.9840031729243787,0.9519064622308552
Communist Party of Greece,Non-attached Members,1385,1581,0.0,0.15235652362336202,0.9995256166982922,0.41562476101362317
Latvijas Krievu savienība,,0,0,,,1.0,
Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),1991,1994,0.027122049221496736,0.0397968049135299,0.9567452357071213,0.924869241785514
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),2054,2054,0.019644493153141988,0.024668093682520403,0.9645444971027406,0.9244236619537405
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1866,1866,0.11264156969652434,0.11273568623390498,0.9474603574550128,0.9268005871205002
Sojusz Lewicy Demokratycznej - Unia Pracy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,2031,,0.02073473857070978,,0.9496575400544034
Nacionālā apvienība 'Visu Latvijai!'-'Tēvzemei un Brīvībai/LNNK',European Conservatives and Reformists Group,0,1370,,0.07835114969024357,,0.7318001119886032
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,1809,1814,0.03423161967938087,0.020770541813600597,0.9311663254055758,0.796070700724577
NOVA,European Conservatives and Reformists Group,0,1680,,0.059235592905067205,,0.7389817387750781
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1947,1947,0.005980036912240303,0.05088504856119953,0.9582316352539773,0.7390080933156314
Kongres Nowej Prawicy,Europe of Nations and Freedom Group,1203,1444,0.0,0.25704730456202396,0.9610457063711911,0.6502055184766872
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2032,2035,0.006429274465691788,0.00841238145204273,0.9781712881712882,0.9496193042374262
Partido Comunista Português,,764,0,0.006544502617801047,,0.9923212487411883,
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1883,1883,0.003456779545467809,0.1308304431929038,0.9653908425615807,0.41999808714342957
Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),1873,1898,0.014949279231179925,0.024183106079356132,0.9756322444678609,0.9269385488044998
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1810,1810,0.009061758033971228,0.01793471030221464,0.9655625888167731,0.9249470782756251
,,0.0,0.0,,,,
,,0.0,0.0,,,,
PODEMOS,Confederal Group of the European United Left - Nordic Green Left,1957,1961,0.005237608584568216,0.038671922547255905,0.9908384301732927,0.7849080571305337
Miljöpartiet de gröna,Group of the Greens/European Free Alliance,1451,1457,0.007580978635423846,0.033889860695760936,0.9842150170648464,0.9583165827606828
Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group,1441,1648,0.006245662734212352,0.16410251406164514,0.9896470261256254,0.7434489310300457
Democratic Rally,Group of the European People's Party (Christian Democrats),0,1727,,0.05024709795534835,1.0,0.927660872574547
Partido Popular,Group of the European People's Party (Christian Democrats),1855,1873,0.011812509144045533,0.02464347729865103,0.9789001632631683,0.9273050036594119
Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe,1442,1714,0.0,0.0212779246645198,0.9756662804171495,0.9259001305943309
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1680,1697,0.010677083333333334,0.033447461781848445,0.974454916548246,0.9508951563004582
Partija 'VIENOTĪBA',Group of the European People's Party (Christian Democrats),1651,1741,0.014536644457904301,0.033683216532467995,0.9739018824871648,0.9290450888366161
Christen-Democratisch & Vlaams,Group of the European People's Party (Christian Democrats),1644,1899,0.0,0.022567361126324986,0.9952854897852279,0.9252969719348871
,Group of the Alliance of Liberals and Democrats for Europe,0,1880,,0.044927923167532635,,0.9282433102060326
Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),1906,1929,0.014100209863588667,0.03056955731819951,0.9743177136972193,0.9248803787715846
Conservative Party,European Conservatives and Reformists Group,1840,1883,0.02279280731831546,0.08751691393890029,0.9224049826486987,0.7404942290342713
Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group,1737,1805,0.002302820955670697,0.12097517228557045,0.9898816079295154,0.730491784185738
Open Vlaamse Liberalen en Democraten,Group of the Alliance of Liberals and Democrats for Europe,1858,1916,0.006996770721205597,0.027270018496118237,0.9891137295081968,0.9260070485506302
Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left,1600,1645,0.01390625,0.08760821446635389,0.9506586826347305,0.7817968774013265
PODEMOS,Confederal Group of the European United Left - Nordic Green Left,1827,1881,0.0021209633278598795,0.05850190710914209,0.9913586673607496,0.7888091479118567
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1867,1912,0.012986039915706462,0.03918710874504342,0.9766290429440957,0.9511929216686158
PODEMOS,Confederal Group of the European United Left - Nordic Green Left,1394,1465,0.009236011477761836,0.07869185712384563,0.9907694848084545,0.7925896992955849
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1667,1717,0.0163445882252121,0.04714349941948187,0.9643067935437244,0.9273548647581294
Suomen Keskusta,,1044,0,0.029693486590038315,,0.9529177718832891,
Perussuomalaiset,European Conservatives and Reformists Group,1404,1724,0.0,0.12192108178162195,0.9115888382687927,0.7346278852958712
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1771,1934,0.007619427438738561,0.11512856446919975,0.9564019253045132,0.7392389558828665
Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1678,1775,0.005438021454112038,0.0672216266753393,0.9869716558925908,0.9519403478258246
Forza Italia,Group of the European People's Party (Christian Democrats),1268,1382,0.10185284287216465,0.20182502476906122,0.9170390069485517,0.9308475718285958
Popular Unity,Confederal Group of the European United Left - Nordic Green Left,0,1795,,0.16425567661262425,,0.7865402178557532
Partij voor de Vrijheid,Europe of Nations and Freedom Group,1617,1886,0.0030921459492888066,0.24995612383057142,0.9957594936708861,0.6527589527898449
Liberalerna,Group of the Alliance of Liberals and Democrats for Europe,1295,1763,0.0,0.10023293125808601,0.9788366336633664,0.9265090936099689
PODEMOS,Confederal Group of the European United Left - Nordic Green Left,1557,1813,0.0050578034682080926,0.14924377744294107,0.990866361788618,0.7878980226981593
,Group of the Alliance of Liberals and Democrats for Europe,0,1583,,0.10086336220980396,,0.9284983464906139
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1611,1884,0.017683573409830393,0.15924306432064167,0.9570428604794351,0.7382092132889119
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1591,1864,0.01350991874247688,0.1567798211241895,0.9580632581941158,0.7374790721003455
Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left,1537,1808,0.003903708523096942,0.3182504163988167,0.9911212582445459,0.7872319761433951
Ciudadanos – Partido de la Ciudadanía,Group of the Alliance of Liberals and Democrats for Europe,734,1116,0.0,0.15770756574559008,0.984641638225256,0.9349452436069069
Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,1115,1431,0.04035874439461883,0.26048161937543074,0.9494596312778131,0.7928631353427509
"Venstre, Danmarks Liberale Parti",Group of the Alliance of Liberals and Democrats for Europe,0,1427,,0.14782060297993932,1.0,0.9324734354470827
Open Vlaamse Liberalen en Democraten,Group of the Alliance of Liberals and Democrats for Europe,1359,1550,0.008830022075055188,0.11831819788699323,0.9895216962524654,0.9250508877528929
Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats),947,1474,0.0,0.19570881283149325,0.976298875200857,0.9275580415531877
Miljöpartiet de gröna,Group of the Greens/European Free Alliance,1300,1448,0.009615384615384616,0.13219873896681006,0.9840816844241502,0.9573735660113392
Lega Nord,Europe of Nations and Freedom Group,1181,1515,0.07720152413209144,0.3201832956133301,0.9086785297549591,0.6569025495303662
,European Conservatives and Reformists Group,0,1835,,0.2502220519871909,,0.7381247464902355
Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1240,1470,0.020440668202764974,0.16317580955728916,0.979668804958916,0.9513101541657351
EQUO,Group of the Greens/European Free Alliance,0,1353,,0.13604275541257374,,0.9580322068850673
Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),857,1224,0.061843640606767794,0.3177682252039591,0.9688249400479616,0.9306461847342806
Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats),987,1375,0.016210739614994935,0.2577129562136654,0.9708631115997801,0.9262719299491646
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1069,1326,0.024621676867290658,0.20973802359680555,0.9850901504177051,0.9520971834835563
Conservative Party,European Conservatives and Reformists Group,1150,1539,0.12049955876559389,0.32087145986653753,0.9263040167067927,0.7340862855862937
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1222,1436,0.06054335335316264,0.19888219607903707,0.9731788765233071,0.9510013391440209
Partido Popular,Group of the European People's Party (Christian Democrats),1062,1464,0.040150703815958054,0.2839302038227937,0.9781944846843692,0.9264284713779536
Esquerra Republicana de Catalunya,Group of the Greens/European Free Alliance,959,1365,0.0,0.1579417127140867,0.9973049281314168,0.958963798085821
,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1359,,0.24379457188363535,,0.9512440245654663
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1082,1333,0.07311592368816998,0.24374194520375372,0.9733826125288477,0.9516741499859023
Mouvement Radical,Group of the Alliance of Liberals and Democrats for Europe,0,1031,,0.3235534846061694,,0.9281391341076756
Partij voor de Vrijheid,Europe of Nations and Freedom Group,874,1690,0.0011441647597254005,0.3923144541396292,0.996002538071066,0.6516507901340801
Union des Démocrates et Indépendants,Group of the Alliance of Liberals and Democrats for Europe,570,996,0.0,0.3330873396826666,0.985934664246824,0.9314066688037889
Conservative Party,European Conservatives and Reformists Group,1171,1681,0.16713630033792476,0.38340370652081995,0.9246168519643582,0.7403340002741647
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,922,1276,0.031116196050289046,0.2903064120518198,0.984300075610791,0.950932705320642
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,824,1178,0.038044718029698416,0.31514168629950734,0.9846829910223598,0.9531600813564429
Rassemblement national,Europe of Nations and Freedom Group,1009,1660,0.04450181467029832,0.29065508430533304,0.9786025943136035,0.6514844088967161
Conservative Party,European Conservatives and Reformists Group,1051,1560,0.17465064952162598,0.4072990559693822,0.9268352650254874,0.7335808754252731
Front de Gauche,Confederal Group of the European United Left - Nordic Green Left,981,1465,0.10805300713557595,0.369963798785696,0.8073344280240832,0.7875658682269397
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1104,1567,0.06176891928670222,0.22227258647285508,0.9552732037555522,0.4174454644652435
Rassemblement national,Europe of Nations and Freedom Group,1038,1702,0.05134904434037382,0.29069071283887804,0.979177136058041,0.6527674194942237
Conservative Party,European Conservatives and Reformists Group,1090,1620,0.1826558373600155,0.404286760870675,0.923895700539534,0.7366142481719047
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1037,1379,0.18948202687426904,0.3715400702453336,0.9463607848447498,0.9254635109276401
Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),828,1384,0.018115942028985508,0.37987239873662987,0.9875444839857651,0.92490309751766
Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),859,1371,0.038911525029103604,0.385317821627126,0.9748868778280543,0.9257777800766043
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),508,1042,0.050262467191601046,0.5374388343507159,0.984345338724463,0.9242729501128888
Strana svobodných občanů,Europe of Freedom and Direct Democracy Group,0,1529,,0.22740959481238424,1.0,0.4174062978946126
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,819,1162,0.07409442409442409,0.33646452337262883,0.9738696644460894,0.9519681994774973
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,737,1114,0.043904366181236464,0.3547257555357297,0.9846526463449891,0.952424688376868
Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,778,1133,0.021850899742930592,0.33191359950003113,0.9744767738642164,0.9286958218856607
Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,702,1021,0.042735042735042736,0.3607434053952148,0.9729290741743367,0.929767257354948
Alternative für Deutschland,Europe of Freedom and Direct Democracy Group,0,1539,,0.24504664975037674,1.0,0.42092648790595727
Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,842,1172,0.0023752969121140144,0.3795498203285777,0.9938565697091274,0.9276722757154138
Sotsiaaldemokraatlik Erakond,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1028,,0.39851111656893246,1.0,0.9509473876285534
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,1042,1583,0.09728886756238003,0.3457339220516319,0.9303553571428571,0.7861390198019516
Die Grünen - Die Grüne Alternative,Group of the Greens/European Free Alliance,801,1073,0.019975031210986267,0.24530889671843678,0.9899749373433584,0.9580734842819864
Les Républicains,Group of the European People's Party (Christian Democrats),709,1207,0.15192093989696248,0.4766888407835164,0.9678550660712678,0.9261616892364792
Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),764,1352,0.027159685863874346,0.41260928723319584,0.9843734335839599,0.9256892796013192
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,858,1205,0.12557566621150779,0.367922253317616,0.9723477895704946,0.9500552359741914
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,619,1015,0.09466882067851372,0.4354021667818058,0.9735071147557736,0.950358222123794
Rassemblement national,Europe of Nations and Freedom Group,864,1608,0.053127697919364586,0.34088892284420536,0.98022156536742,0.6549192716465496
Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe,694,1057,0.04755043227665706,0.36116445387792356,0.9549328512396694,0.9286986146945647
Bloque Nacionalista Galego,Group of the Greens/European Free Alliance,0,902,,0.32549289779276797,,0.9587359691702484
Latvijas Krievu savienība,Group of the Greens/European Free Alliance,0,964,,0.290982455304084,1.0,0.9584111712384915
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,702,1109,0.10632477823380981,0.40500970476075093,0.9764910185902294,0.9516871371792042
